nbjet,njjet,ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,mb1h,mbbh,met,ht,drbamin,drba1,dphiba1,dphibb,class,weight
1,0,57.4074,0,65.51,51.8668,66.2284,-0.518085,0,-0.384449,0.921348,0.425399,4.5798,126.713,211.067,211.067,2.92272,242.072,2.24229,2.24229,2.2383,2.28159,3,-1.98459e-08
2,0,39.4068,32.0277,94.2036,44.9085,69.0682,0.79377,2.0416,2.74728,2.97192,3.52295,57.9391,121.639,249.746,285.927,2.02365,252.675,1.23418,2.90283,2.14715,0.94556,3,1.98459e-08
1,0,52.4997,0,66.6711,59.6708,30.1699,-0.143539,0,-2.06073,-1.68583,-3.31105,7.31185,124.971,240.12,240.12,5.88755,286.397,2.23728,3.52268,2.95527,2.12675,3,1.98459e-08
1,0,48.819,0,67.649,39.3154,44.5828,-0.399503,0,-1.84652,-0.441744,-2.33013,5.33097,124.997,196.732,196.732,6.95424,204.788,1.48375,2.75037,2.33895,1.59605,3,-1.98459e-08
1,0,50.9801,0,86.8597,40.5713,47.4572,0.755222,0,-2.09772,-1.38309,-2.8869,5.66513,125.953,340.219,340.219,3.28307,268.502,1.38354,4.21234,3.09912,0.183666,3,-1.98459e-08
1,1,33.9562,0,102.477,47.8204,83.6837,-0.755777,0,-0.617355,-0.56747,-0.981535,4.83383,124.894,173.733,173.733,5.18481,292.106,0.689142,2.86847,2.86513,1.56642,3,1.98459e-08
1,0,31.1139,0,80.894,46.1143,34.8453,0.0451856,0,0.8988,1.32522,2.25043,3.43718,124.922,172.866,172.866,2.75584,212.388,1.42595,2.62115,2.47826,2.41795,3,-1.98459e-08
1,0,35.6988,0,65.8266,28.9019,46.2396,-0.558838,0,-0.910761,-2.76975,-2.56318,4.79577,124.642,182.592,182.592,12.321,246.64,2.30979,3.14224,3.12247,0.585442,3,-1.98459e-08
1,0,34.2443,0,67.9856,65.9332,60.3697,-0.19942,0,-2.45623,-2.95577,-3.52622,4.13052,124.225,279.709,279.709,21.5274,250.534,2.99524,2.99524,1.96933,1.16646,3,-1.98459e-08
1,0,75.5781,0,110.525,51.0193,103.815,-0.733205,0,-1.13865,-0.896035,-1.44068,3.62711,125.11,236.328,236.328,16.6977,310.441,1.86635,3.12551,3.09911,0.390386,3,-1.98459e-08
1,0,30.2786,0,86.1839,41.8509,44.4491,1.06046,0,-0.550875,-0.0730344,-1.0107,5.57293,123.517,189.557,189.557,4.08993,260.954,0.276392,3.36657,2.95591,0.398767,3,-1.98459e-08
1,0,34.2706,0,76.2713,50.3616,38.6135,0.951542,0,2.08408,1.61062,3.08848,7.13609,124.186,177.705,177.705,5.19005,213.32,1.58922,2.44035,2.16164,1.09045,3,-1.98459e-08
